Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,ME Trescothick,51,36,15,51,49,1,26,2,8,13,21,60,36,96,0,301,22,0,4,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,IR Bell,0,0,0,0,49,1,26,2,8,13,21,60,36,96,0,301,22,0,4,3.63433,0.246269,35.3806,75.6623,134,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,AC Botha,28,12,16,55,41,1,10,1,8,8,16,32,35,67,302,263,22,1,4,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,WK McCallan,1,0,1,10,41,1,10,1,8,8,16,32,35,67,302,263,22,1,4,0.692308,0,7.69231,56.8182,13,3
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,KP Pietersen,17,8,9,25,16,3,22,0,12,10,22,32,28,60,0,166,7,1,4,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,JWM Dalrymple,0,0,0,0,16,3,22,0,12,10,22,32,28,60,0,166,7,1,4,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,PD Collingwood,6,4,2,20,16,3,22,0,12,10,22,32,28,60,0,166,7,1,4,2.62366,0.193548,30.5161,76.8065,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,2,Mohammad Yousuf,2,0,2,20,26,2,10,0,12,13,25,32,29,61,167,169,8,0,4,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,2,Younis Khan,23,20,3,45,26,2,10,0,12,13,25,32,29,61,167,169,8,0,4,2.64655,0.215517,28.5,73.2713,116,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,KP Pietersen,1,0,1,1,52,1,26,1,12,7,19,48,49,97,0,271,3,1,4,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,3,IR Bell,27,4,23,42,52,1,26,1,12,7,19,48,49,97,0,271,3,1,4,3.63433,0.246269,35.3806,75.6623,134,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Mohammad Yousuf,9,4,5,22,42,2,26,0,12,16,28,62,34,96,272,274,8,0,4,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,3,Younis Khan,38,32,6,47,42,2,26,0,12,16,28,62,34,96,272,274,8,0,4,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Mohammad Yousuf,7,0,7,35,36,2,7,1,24,4,28,46,25,71,0,235,7,0,4,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,4,Inzamam-ul-Haq,5,0,5,17,36,2,7,1,24,4,28,46,25,71,0,235,7,0,4,3.16667,0,26.9167,70.989,12,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,4,AJ Strauss,40,24,16,58,38,1,17,0,16,10,26,48,33,81,236,237,4,1,4,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,4,IR Bell,2,0,2,11,38,1,17,0,16,10,26,48,33,81,236,237,4,1,4,3.63433,0.246269,35.3806,75.6623,134,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,5,Younis Khan,0,0,0,0,18,0,17,3,6,9,15,18,32,50,0,154,17,0,4,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,5,Mohammad Yousuf,0,0,0,0,18,0,17,3,6,9,15,18,32,50,0,154,17,0,4,3.27586,0.275862,36.7931,73.9176,58,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,5,KP Pietersen,13,8,5,15,47,3,21,0,20,9,29,72,25,97,155,155,5,1,4,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,5,PD Collingwood,10,4,6,20,47,3,21,0,20,9,29,72,25,97,155,155,5,1,4,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,5,JWM Dalrymple,0,0,0,0,47,3,21,0,20,9,29,72,25,97,155,155,5,1,4,1.41667,0.0833333,19,73.7864,24,1
