Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,ME Trescothick,16,12,4,16,0,0,22,0,24,3,27,40,9,49,0,301,11,0,2,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,EC Joyce,6,4,2,17,0,0,22,0,24,3,27,40,9,49,0,301,11,0,2,3.08571,0.2,28.3429,68.6505,35,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,1,AJ Strauss,0,0,0,0,0,0,22,0,24,3,27,40,9,49,0,301,11,0,2,3.93243,0.27027,33.9054,79.8028,74,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,AC Botha,7,4,3,18,0,0,15,1,16,10,26,24,17,41,302,263,17,1,2,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,1,JP Bray,8,4,4,14,0,0,15,1,16,10,26,24,17,41,302,263,17,1,2,2.7,0.1,23.4,63.0728,10,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,IR Bell,7,4,3,12,0,0,9,1,4,3,7,8,8,16,0,166,5,1,2,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,ME Trescothick,2,0,2,17,0,0,9,1,4,3,7,8,8,16,0,166,5,1,2,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,KP Pietersen,0,0,0,0,0,0,9,1,4,3,7,8,8,16,0,166,5,1,2,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,2,PD Collingwood,0,0,0,0,0,0,9,1,4,3,7,8,8,16,0,166,5,1,2,2.62366,0.193548,30.5161,76.8065,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,2,Shoaib Malik,9,0,9,17,0,0,16,1,8,2,10,12,14,26,167,169,7,0,2,2.77551,0.193878,28.7041,81.4418,98,4
